"","date","COLOMA","FREDERICKTOWN","LOCKWOOD","MARSHFIELD","COLUMBIA RGNL AP","JOPLIN REGIONAL  AIRPORT","ST LOUIS LAMBERT INTL AP","SPRINGFIELD"
"1970","1970",26,24,25,16,24,16,16,16
"1971","1971",31,18,26,16,21,19,13,24
"1972","1972",23,16,28,20,13,27,13,15
"1973","1973",19,18,16,18,15,19,13,12
"1974","1974",28,19,21,21,13,22,19,22
"1975","1975",31,23,15,23,19,15,15,13
"1976","1976",26,25,17,25,26,25,23,28
"1977","1977",25,24,18,22,13,22,17,18
"1978","1978",22,25,20,20,19,21,19,18
"1979","1979",40,22,46,20,30,45,34,24
"1980","1980",54,23,31,23,28,33,17,23
"1981","1981",38,42,23,41,26,24,15,23
"1982","1982",20,14,NA,25,14,13,15,14
"1983","1983",20,23,23,23,17,26,19,20
"1984","1984",NA,13,21,21,36,14,14,21
"1985","1985",30,16,20,22,16,28,23,22
"1986","1986",44,29,29,44,28,30,36,28
"1987","1987",30,16,21,20,23,20,20,18
"1988","1988",25,20,18,14,22,17,19,14
"1989","1989",36,22,37,22,20,22,20,20
"1990","1990",27,17,18,18,19,14,18,13
"1991","1991",19,13,18,18,13,13,12,19
"1992","1992",20,21,20,20,18,18,19,18
"1993","1993",23,17,24,17,21,14,18,17
"1994","1994",19,15,23,19,16,23,15,14
"1995","1995",27,23,28,22,22,22,23,22
"1996","1996",30,12,24,14,13,25,13,14
"1997","1997",38,15,14,19,15,13,15,19
"1998","1998",23,36,19,18,15,NA,12,13
"1999","1999",49,26,22,21,17,31,21,25
"2000","2000",31,20,42,16,15,24,18,24
"2001","2001",24,20,15,15,15,15,15,15
"2002","2002",32,21,18,17,21,18,21,20
"2003","2003",28,17,13,13,13,19,19,13
"2004","2004",20,26,15,21,21,27,19,30
"2005","2005",25,21,25,26,28,22,20,15
"2006","2006",31,16,17,17,15,20,16,16
"2007","2007",28,16,20,18,16,29,15,20
"2008","2008",14,13,19,15,13,14,14,15
"2009","2009",28,17,17,16,16,24,15,17
"2010","2010",16,17,23,21,16,23,14,16
"2011","2011",28,20,15,14,18,17,18,16
"2012","2012",26,16,18,15,22,55,20,22
"2013","2013",19,13,19,18,16,35,18,19
"2014","2014",20,20,21,19,NA,20,13,20
"2015","2015",17,16,19,19,18,19,21,19
"2016","2016",19,21,13,23,15,20,12,13
"2017","2017",34,20,19,21,20,24,17,25
"2018","2018",13,15,15,17,12,14,11,14
"2019","2019",14,17,15,20,13,14,11,19
"2020","2020",NA,NA,NA,NA,NA,NA,NA,NA
